	total_cells	MOI	library_size	total_transfection_events	gt_collisions	estimated_collisions	estimated_collision_rate	gt_collision_rate	percent_estimation_error
166	201000	75	30000	15107632	29601	29708.812798637897	0.0019664771288205787	0.001959340815291238	0.36422012309684865
167	201000	75	50000	15075192	17805	17723.4392622523	0.0011756692228034177	0.001181079484758801	0.45807771832462446
168	201000	75	70000	15074558	12592	12649.086812116206	0.0008391016713137597	0.000835314707071345	0.45335778364203744
169	201000	75	90000	15064836	9732	9846.072564076632	0.000653579804259179	0.0006460076963333687	1.172138965029101
170	201000	80	10000	16074491	100485	100448.23674727976	0.006248921769733161	0.006251208825212568	0.03658581153428372
171	201000	80	30000	16113189	33753	33800.37248728424	0.0020976836110644667	0.0020947436289613435	0.14035044969111363
172	201000	80	50000	16118720	20357	20275.481917420402	0.0012578841196708177	0.0012629414742609834	0.40044251402267833
173	201000	80	70000	16082146	14423	14392.10824961774	0.0008949121746325236	0.0008968330470324048	0.2141839449647034
174	201000	80	90000	16079239	11103	11203.71483211033	0.00069678141061964	0.0006905177539807698	0.9070956688312198
175	201000	85	10000	17098754	113177	113495.11172842607	0.006637624690572545	0.006619020309900944	0.28107453672218186
176	201000	85	30000	17045553	37673	37813.7344000265	0.002218392938030611	0.002210136567584519	0.37356833813738327
177	201000	85	50000	17086036	22864	22781.74321364239	0.001333354513220175	0.0013381687829757587	0.3597655106613611
178	201000	85	70000	17080015	16535	16329.790716480464	0.0009560759001956651	0.0009680904846980521	1.2410600757153765
179	201000	85	90000	17107112	12636	12684.100897211581	0.0007414519117669646	0.0007386401632256806	0.3806655366538613
180	201000	90	10000	18075537	126550	126858.2384248972	0.00701822791903207	0.007001175124147072	0.24357046613764888
181	201000	90	30000	18097182	42675	42502.23996818438	0.002348555701555324	0.002358101940954122	0.4048272567442772
182	201000	90	50000	18110326	25621	25578.193184822798	0.0014123541003526275	0.001414717769299128	0.16707706637993508
183	201000	90	70000	18103870	18351	18292.388382717967	0.0010104131538018095	0.0010136506724805249	0.31939195292918154
184	201000	90	90000	18136313	14156	14251.781187143177	0.0007858146905130705	0.0007805335075547053	0.6766119464762371
185	201000	95	10000	19115527	141760	141976.43988025934	0.007427283583667839	0.007415960857370032	0.1526805024402773
186	201000	95	30000	19044266	47062	47207.648449439555	0.0024788379058263287	0.002471190015934455	0.3094820650196626
187	201000	95	50000	19099007	28734	28480.053874153644	0.001491179822812445	0.0015044761227638694	0.8837827168036322
188	201000	95	70000	19046984	20172	20279.447297308594	0.0010647064804227585	0.00105906530923741	0.5326556479704212
189	201000	95	90000	19069264	15971	15783.259701583534	0.0008276805912165008	0.0008375257692168926	1.1755074723966208
190	401000	5	10000	2000771	806	782.814839883009	0.00039125659052585677	0.0004028447033668521	2.8765707341179962
191	401000	5	30000	2003363	260	261.6410870656837	0.00013060093805550152	0.00012978177195046528	0.631187332955276
192	401000	5	50000	2003765	154	157.14149692398496	7.842311694434476e-05	7.685531986036287e-05	2.0399330675227056
193	401000	5	70000	2001596	126	111.99737666896544	5.595403701294639e-05	6.294976608666284e-05	11.113193119868688
194	401000	5	90000	2004301	82	87.6749844129663	4.374342197752049e-05	4.0912018703777524e-05	6.920712698739391
195	401000	10	10000	3998602	3130	3131.2301245038398	0.000783081218011655	0.0007827735793659884	0.03930110235909503
196	401000	10	30000	4006071	1046	1049.0646490971558	0.00026186871103811083	0.0002611037098443837	0.29298748538773517
197	401000	10	50000	4018450	626	631.5246212338097	0.00015715627200383475	0.00015578145802486033	0.8825273536437337
198	401000	10	70000	4013103	456	450.7756330706179	0.0001123259565155985	0.00011362778378725889	1.1456945020574827
199	401000	10	90000	4008419	346	350.041518162936	8.732657892374424e-05	8.631832151279594e-05	1.1680688332184872
200	401000	15	10000	6022904	7079	7087.398782831617	0.001176741117379858	0.0011753466434132106	0.11864363372816444
201	401000	15	30000	6012951	2292	2362.8676614649594	0.00039296306613257936	0.0003811772289513086	3.0919573064990913
202	401000	15	50000	6021717	1401	1420.2872301945463	0.000235860840055178	0.00023265789474995253	1.3766759596392801
203	401000	15	70000	6010599	981	1009.6241833018139	0.00016797397119684975	0.00016321168655569936	2.9178576250574824
204	401000	15	90000	6014319	764	785.4502786025405	0.00013059671071696403	0.0001270301758187419	2.807628089337757
205	401000	20	10000	8024254	12613	12601.322874892503	0.0015704042861669763	0.0015718595149156545	0.09258007696421408
206	401000	20	30000	8013160	4203	4187.425018426962	0.0005225685021173872	0.0005245121774680651	0.370568203022549
207	401000	20	50000	8028840	2510	2526.7255211891606	0.00031470617438996925	0.000312622994106247	0.6663554258629701
208	401000	20	70000	8016841	1823	1795.96837499924	0.00022402444741005092	0.00022739630235899653	1.482809928730664
209	401000	20	90000	7999791	1400	1391.7698180489242	0.00017397577237316877	0.00017500457199444335	0.5878701393625569
210	401000	25	10000	10029218	19733	19674.129467008635	0.0019616813062602323	0.0019675512088779008	0.29833544312252425
211	401000	25	30000	10017104	6575	6545.796142030507	0.0006534619329129963	0.0006563773322109863	0.44416514022042297
212	401000	25	50000	10050520	3936	3954.8252278491855	0.00039349458812570746	0.0003916215280403402	0.47828322787563843
213	401000	25	70000	10015249	2864	2804.199077291414	0.0002799929464850464	0.00028596393359765695	2.088021044294198
214	401000	25	90000	10029652	2140	2187.248946554959	0.00021807824903146778	0.00021336732321320818	2.207894698829859
215	401000	30	10000	12034931	28554	28298.682292947546	0.002351378856509235	0.0023725935778111233	0.8941574107041255
216	401000	30	30000	12038708	9623	9450.496123058721	0.0007850091656894345	0.0007993382678606376	1.7926205647020594
217	401000	30	50000	12050092	5715	5680.958072891459	0.0004714452033139215	0.0004742702379367726	0.5956592669910966
218	401000	30	70000	12053959	4077	4063.5398508217186	0.00033711246660302383	0.000338229124555675	0.3301483732715575
219	401000	30	90000	12035469	3173	3149.076394410804	0.00026164966187946674	0.0002636374203614334	0.7539743330979056
220	401000	35	10000	14016171	38314	38383.094152249396	0.0027384864348650854	0.002733556832318898	0.18033656691913275
221	401000	35	30000	14044081	12814	12902.21186864376	0.0009186939229874679	0.0009124128520762591	0.6884022837814882
222	401000	35	50000	14033657	7621	7716.883508820087	0.000549884004491494	0.0005430516080021053	1.258148652671381
